ant-1.9             1.9                 Ant是Java的生成工具,是Apache的核心项目
 
batch               1.2                 批量操作跳板机脚本           
 
bidfree             1.0                 hadoop使用，双向免密脚本     
 
calibre             3.18.0              专业的电子书制作软件          
 
card-life           1.1                 抽卡人生小游戏             
 
chinese-font        0                   安装中文字体              
 
clocks              1.0                 字符的系统时间脚本           
 
dos2                1.0                 批量将win写的文件转换为linux格式
 
glibc-2.14          2.14                glibc是GNU发布的libc库，即c运行库
 
hit-boss            1.0                 打boss小游戏脚本          
 
ip-location         1.0                 查询ip地址所在地脚本         
 
jdk-1.8             1.8.0               JDK是 Java 语言的软件开发工具包
 
jenkins             2.104               Jenkins是持续与集成服务     
 
kafka-2.12          2.12                一个分布式消息系统           
 
kafka-cluster       1                   配置kafka集群           
 
kafka_manager       1.3.3.14            kafka的web端管理工具      
 
logcut              1.0                 日志切割脚本              
 
maven-3.5           3.5                 纯Java编写的开源项目管理工具    
 
mindoc-0.10         0.10.1              开源wiki              
 
moni-tty            1.0                 模拟shell登陆           
 
mysql-5.6           5.6.39              Mysql是一款好用的关系型数据库   
 
mysql-5.7           5.7.21              Mysql是一款好用的关系型数据库   
 
nginx-1.8           1.8                 Nginx是一个高性能的HTTP和反向代理服务器
 
nodejs-8.9          8.9.3               Node.js 就是运行在服务端的 JavaScript。
 
notty               1.2                 禁止密码爆破脚本            
 
python-3.6          3.6                 Python是一种解释型、面向对象、动态数据类型的高级程序设计语言
 
redis-3.2           3.2.9               高性能key-value数据库     
 
redis-browser       0.5.1               redis的web端管理工具      
 
ruby-2.4            2.4.1               Ruby，一种简单快捷的面向对象脚本语言
 
rvm                 0                   rvm是ruby管理器         
 
sqlite-3.23         3.23.0              SQLite是一款轻型的关系型数据库管理系统
 
sys-mes             1.0                 系统信息查询命令            
 
tank                1.2                 小坦克游戏               
 
tetris              1.0                 俄罗斯方块小游戏脚本          
 
tijiao-git          1.0                 自动提交代码到github       
 
tomcat-7.0          7.0.88              Tomcat 是由 Apache 开发的一个 Servlet 容器
 
tomcat-8.5          8.5.31              Tomcat 是由 Apache 开发的一个 Servlet 容器
 
tomcat-9.0          9.0.8               Tomcat 是由 Apache 开发的一个 Servlet 容器
 
zabbix-3.4          3.4.1               zabbix是一种图形监控软件     
 
zk-cluster          1                   配置zookeeper集群       
 
zookeeper-3.5       3.5.2               分布式应用程序协调服务         
 
